ID,Drug1,Drug2,Cell line,ZIP
2769,631,141,2,12.32
2773,631,503,2,8.44
2789,622,14,2,1.36
2793,622,631,2,6.19
2801,622,217,2,3.06
2841,622,141,2,2.4
2845,622,637,2,5.8
2849,622,402,2,0.6
2873,484,14,2,4.69
2877,484,631,2,7.74
2885,484,217,2,6.58
2925,484,141,2,-1.58
2929,484,637,2,0.5
2933,484,402,2,6.45
2949,217,14,2,1.74
2953,217,631,2,10.73
2973,217,215,2,1.61
2985,217,141,2,6.99
2989,217,503,2,11.57
3005,358,14,2,3.66
3009,358,631,2,8.32
3017,358,217,2,6.63
3053,358,141,2,2.34
3057,358,637,2,1.97
3061,358,402,2,8.15
3109,165,14,2,3.29
3113,165,631,2,6.17
3121,165,217,2,4.58
3157,165,141,2,0.59
3161,165,637,2,3.46
3165,165,402,2,7.38
3345,99,14,2,0.37
3349,99,631,2,15.26
3357,99,217,2,2.57
3397,99,141,2,4.8
3401,99,637,2,12.01
3405,99,402,2,0.4
3425,239,14,2,0.26
3429,239,631,2,2.39
3437,239,217,2,2.78
3477,239,141,2,0.36
3481,239,637,2,-0.25
3485,239,402,2,12.56
4077,215,141,2,3.79
4093,618,14,2,5.73
4097,618,631,2,12.99
4105,618,217,2,2.99
4145,618,141,2,2.46
4149,618,637,2,7.01
4153,618,402,2,-0.88
4241,637,14,2,5.35
4245,637,631,2,13.35
4253,637,217,2,11.5
4285,637,215,2,9.76
4297,637,141,2,3.72
4301,637,402,2,16.52
4305,637,503,2,3.1
4321,402,14,2,0.43
4325,402,631,2,13.01
4333,402,217,2,19
4361,402,215,2,20.17
4373,402,141,2,5.47
4377,402,503,2,11.97
4393,503,141,2,3.3
4489,118,14,2,1.41
4493,118,631,2,7.02
4501,118,217,2,4.85
4537,118,141,2,3.46
4541,118,637,2,6.07
4545,118,402,2,2.45
4853,14,631,3,-1.9
4869,14,215,3,2.64
4877,14,141,3,5.64
4881,14,503,3,-6.66
4897,456,14,3,-1.55
4901,456,631,3,1.19
4909,456,217,3,9.53
4949,456,141,3,-3.36
4953,456,637,3,7.78
4957,456,402,3,-2.44
4977,218,14,3,4.9
4981,218,631,3,-1.82
4989,218,217,3,-4.1
5029,218,141,3,12.93
5033,218,637,3,7.52
5037,218,402,3,7.5
5069,631,215,3,-9.33
5077,631,141,3,15.32
5081,631,503,3,4.2
5097,622,14,3,5.68
5101,622,631,3,13.44
5109,622,217,3,-4.03
5149,622,141,3,12.06
5153,622,637,3,15.24
5157,622,402,3,2.13
5181,484,14,3,-1.21
5185,484,631,3,-7.96
5193,484,217,3,-2.93
5233,484,141,3,-18.74
5237,484,637,3,-21.73
5241,484,402,3,-1.66
5257,217,14,3,0.47
5261,217,631,3,-5.05
5273,217,215,3,-5.01
5285,217,141,3,6.19
5289,217,503,3,13.9
5305,358,14,3,-0.29
5309,358,631,3,6.41
5317,358,217,3,6.19
5353,358,141,3,-0.64
5357,358,637,3,-1.78
5361,358,402,3,-15.22
5409,165,14,3,2.01
5413,165,631,3,2.99
5421,165,217,3,-0.03
5457,165,141,3,0.93
5461,165,637,3,1.67
5465,165,402,3,2.84
5645,99,14,3,-0.52
5649,99,631,3,-4.38
5657,99,217,3,-2.06
5697,99,141,3,12.31
5701,99,637,3,9.63
5705,99,402,3,-2.86
5721,239,14,3,1.51
5725,239,631,3,-2.21
5733,239,217,3,11.95
5761,239,141,3,5.57
5765,239,637,3,-2.46
5769,239,402,3,3.71
6345,215,141,3,2.2
6361,618,14,3,0.18
6365,618,631,3,4.88
6373,618,217,3,9.61
6413,618,141,3,9.97
6417,618,637,3,8.82
6421,618,402,3,-2.88
6509,637,14,3,1.32
6513,637,631,3,14.92
6521,637,217,3,9.24
6553,637,215,3,-1.47
6565,637,141,3,10.82
6569,637,402,3,6.97
6573,637,503,3,0.96
6589,402,14,3,2.29
6593,402,631,3,-4.56
6625,402,215,3,-5.05
6637,402,141,3,10.58
6641,402,503,3,5.62
6657,503,141,3,11.28
6753,118,14,3,2.07
6757,118,631,3,6.66
6765,118,217,3,12.11
6801,118,141,3,9
6805,118,637,3,6.03
6809,118,402,3,-14.54
7117,14,631,4,0.46
7137,14,215,4,-1.47
7145,14,141,4,0.18
7149,14,503,4,-4.41
7165,456,14,4,-3.01
7169,456,631,4,2.91
7177,456,217,4,-1.09
7217,456,141,4,-4.52
7221,456,637,4,6.66
7225,456,402,4,-4.43
7245,218,14,4,-0.06
7249,218,631,4,1.18
7257,218,217,4,0.35
7297,218,141,4,0.85
7301,218,637,4,8.25
7305,218,402,4,-0.26
7337,631,215,4,4.29
7345,631,141,4,-0.04
7349,631,503,4,2.78
7365,622,14,4,0.78
7369,622,631,4,-0.09
7377,622,217,4,-4.44
7417,622,141,4,0.79
7421,622,637,4,4.05
7425,622,402,4,-1.3
7449,484,14,4,-1.08
7453,484,631,4,0.47
7461,484,217,4,-0.45
7501,484,141,4,-2.5
7505,484,637,4,1.32
7509,484,402,4,-1.73
7525,217,14,4,-2.57
7529,217,631,4,10.22
7549,217,215,4,-7.04
7561,217,141,4,0.33
7565,217,503,4,7.07
7581,358,14,4,0.94
7585,358,631,4,-2.89
7593,358,217,4,6.38
7629,358,141,4,-0.04
7633,358,637,4,5.51
7637,358,402,4,2.08
7685,165,14,4,2.9
7689,165,631,4,6.81
7697,165,217,4,8.5
7733,165,141,4,-4.14
7737,165,637,4,5.8
7741,165,402,4,6.02
7925,99,14,4,-3.28
7929,99,631,4,0.35
7937,99,217,4,-9.56
7977,99,141,4,6.69
7981,99,637,4,11.77
7985,99,402,4,-8.45
8005,239,14,4,-0.1
8009,239,631,4,-5.3
8017,239,217,4,0.02
8057,239,141,4,-3.7
8061,239,637,4,-3
8065,239,402,4,-6.31
8665,215,141,4,2.43
8681,618,14,4,-1.01
8685,618,631,4,0.58
8693,618,217,4,-0.76
8733,618,141,4,0.26
8737,618,637,4,5.68
8741,618,402,4,-3.34
8829,637,14,4,5.21
8833,637,631,4,4.29
8841,637,217,4,8.06
8873,637,215,4,1.93
8885,637,141,4,6.33
8889,637,402,4,9.78
8893,637,503,4,2.76
8909,402,14,4,-0.31
8913,402,631,4,-0.48
8921,402,217,4,2.61
8953,402,215,4,-0.37
8965,402,141,4,5.58
8969,402,503,4,-1.46
8985,503,141,4,-1.29
9081,118,14,4,0.77
9085,118,631,4,0.59
9093,118,217,4,3.25
9129,118,141,4,1.91
9133,118,637,4,7.22
9137,118,402,4,-4.2
59845,14,631,31,8.65
59865,14,215,31,0.76
59873,14,141,31,1.74
59877,14,503,31,0.2
59893,456,14,31,1.43
59897,456,631,31,9.06
59905,456,217,31,15.94
59945,456,141,31,1.89
59949,456,637,31,5.96
59953,456,402,31,4.21
59973,218,14,31,3.44
59977,218,631,31,-3.84
59985,218,217,31,-3.93
60025,218,141,31,2.13
60029,218,637,31,2.81
60033,218,402,31,11.84
60065,631,215,31,-5.59
60073,631,141,31,-0.22
60077,631,503,31,-2.65
60093,622,14,31,5.87
60097,622,631,31,-2.25
60105,622,217,31,-3.83
60145,622,141,31,-3.08
60149,622,637,31,2.08
60153,622,402,31,10.98
60177,484,14,31,-0.09
60181,484,631,31,6.19
60189,484,217,31,3.14
60229,484,141,31,-1.46
60233,484,637,31,-1.99
60237,484,402,31,-0.4
60253,217,14,31,2.28
60257,217,631,31,-6.99
60277,217,215,31,-5.84
60289,217,141,31,-2.12
60293,217,503,31,10.37
60309,358,14,31,1.36
60313,358,631,31,1.52
60321,358,217,31,2.47
60357,358,141,31,-0.5
60361,358,637,31,-2.2
60365,358,402,31,0.85
60413,165,14,31,3.81
60417,165,631,31,8.93
60425,165,217,31,-2.96
60461,165,141,31,-3.11
60465,165,637,31,2.75
60469,165,402,31,4.63
60653,99,14,31,-1.73
60657,99,631,31,-1.3
60665,99,217,31,-4.58
60705,99,141,31,8.75
60709,99,637,31,17.55
60713,99,402,31,2.37
60733,239,14,31,-1.61
60737,239,631,31,-3.46
60745,239,217,31,5.46
60785,239,141,31,1.23
60789,239,637,31,-4.7
60793,239,402,31,-1.39
61393,215,141,31,-5.03
61409,618,14,31,4.19
61413,618,631,31,4.93
61421,618,217,31,-1.41
61461,618,141,31,0.79
61465,618,637,31,-1.49
61469,618,402,31,1.84
61557,637,14,31,1.43
61561,637,631,31,23.46
61569,637,217,31,5.92
61601,637,215,31,-7.05
61613,637,141,31,6.6
61617,637,402,31,8.19
61621,637,503,31,-3.67
61637,402,14,31,0.69
61641,402,631,31,-0.86
61649,402,217,31,-4.13
61681,402,215,31,8.81
61693,402,141,31,12.69
61697,402,503,31,2.18
61713,503,141,31,0.31
61809,118,14,31,0.96
61813,118,631,31,0.64
61821,118,217,31,0.99
61857,118,141,31,3.93
61861,118,637,31,0.85
61865,118,402,31,1.66
69097,14,631,36,-4.39
69117,14,215,36,0.31
69125,14,141,36,9.2
69129,14,503,36,0.3
69145,456,14,36,1.57
69149,456,631,36,-4.18
69157,456,217,36,0.2
69197,456,141,36,1.04
69201,456,637,36,0.57
69205,456,402,36,3.42
69225,218,14,36,3.87
69229,218,631,36,7.9
69237,218,217,36,5.67
69277,218,141,36,18.76
69281,218,637,36,9.19
69285,218,402,36,7
69317,631,215,36,-4.85
69325,631,141,36,7.19
69329,631,503,36,-5.1
69345,622,14,36,-1.44
69349,622,631,36,6.8
69357,622,217,36,6.02
69397,622,141,36,9.14
69401,622,637,36,14.75
69405,622,402,36,0.57
69429,484,14,36,0.47
69433,484,631,36,1.56
69441,484,217,36,-2.08
69481,484,141,36,-0.9
69485,484,637,36,-2.95
69489,484,402,36,11.17
69505,217,14,36,-2.24
69509,217,631,36,1.55
69529,217,215,36,-3.54
69541,217,141,36,9.57
69545,217,503,36,1.06
69561,358,14,36,1.16
69565,358,631,36,-4.78
69573,358,217,36,5.52
69609,358,141,36,11.41
69613,358,637,36,1.11
69617,358,402,36,5.63
69665,165,14,36,3.24
69669,165,631,36,-0.75
69677,165,217,36,-3.33
69713,165,141,36,3.46
69717,165,637,36,3.94
69721,165,402,36,12.73
69905,99,14,36,-1.46
69909,99,631,36,-1.79
69917,99,217,36,-3.28
69957,99,141,36,16.42
69961,99,637,36,3.53
69965,99,402,36,2.8
69985,239,14,36,-0.09
69989,239,631,36,-0.46
69997,239,217,36,2.74
70037,239,141,36,16.9
70041,239,637,36,1.5
70045,239,402,36,2.66
70645,215,141,36,10.43
70661,618,14,36,-1.16
70665,618,631,36,2.74
70673,618,217,36,1.26
70713,618,141,36,14.18
70717,618,637,36,6.21
70721,618,402,36,6.6
70809,637,14,36,0.88
70813,637,631,36,-0.37
70821,637,217,36,5.24
70853,637,215,36,-2.3
70865,637,141,36,10.82
70869,637,402,36,12.64
70873,637,503,36,-2.82
70889,402,14,36,4.43
70893,402,631,36,8.18
70901,402,217,36,0.51
70933,402,215,36,0.51
70945,402,141,36,18.27
70949,402,503,36,2.51
70965,503,141,36,9.52
71061,118,14,36,-1.31
71065,118,631,36,-0.79
71073,118,217,36,2.06
71109,118,141,36,15.79
71113,118,637,36,8.49
71117,118,402,36,6.81
73761,14,631,39,1.25
73781,14,215,39,-2.29
73789,14,141,39,3.4
73793,14,503,39,0.49
73809,456,14,39,3.95
73813,456,631,39,0.27
73821,456,217,39,2.03
73861,456,141,39,-4.79
73865,456,637,39,-2.94
73869,456,402,39,3.47
73889,218,14,39,7.84
73893,218,631,39,-1.37
73901,218,217,39,-6.06
73941,218,141,39,0.47
73945,218,637,39,1.2
73949,218,402,39,0.9
73981,631,215,39,-4.86
73989,631,141,39,-2.09
73993,631,503,39,-6.77
74009,622,14,39,6.35
74013,622,631,39,1.85
74021,622,217,39,6.36
74061,622,141,39,1.15
74065,622,637,39,0.01
74069,622,402,39,5.88
74093,484,14,39,0.33
74097,484,631,39,2.32
74105,484,217,39,0.75
74145,484,141,39,-9.4
74149,484,637,39,-8.39
74153,484,402,39,-5.19
74169,217,14,39,-4.87
74173,217,631,39,-2.77
74193,217,215,39,-9.35
74205,217,141,39,-6.15
74209,217,503,39,1
74225,358,14,39,-1.81
74229,358,631,39,-0.82
74237,358,217,39,8.07
74273,358,141,39,1.35
74277,358,637,39,-3.15
74281,358,402,39,-4.98
74329,165,14,39,-1.13
74333,165,631,39,-4.01
74341,165,217,39,-5.1
74377,165,141,39,-11.77
74381,165,637,39,-9.65
74385,165,402,39,-0.92
74569,99,14,39,2.17
74573,99,631,39,-2.71
74581,99,217,39,-2.22
74621,99,141,39,0.88
74625,99,637,39,-5.58
74629,99,402,39,-1.4
74649,239,14,39,3.72
74653,239,631,39,-7.39
74661,239,217,39,-2.66
74701,239,141,39,2.02
74705,239,637,39,-9.59
74709,239,402,39,-4.1
75309,215,141,39,-7.81
75325,618,14,39,3.85
75329,618,631,39,-0.65
75337,618,217,39,-5.34
75377,618,141,39,-0.04
75381,618,637,39,1.18
75385,618,402,39,3
75473,637,14,39,0.08
75477,637,631,39,-1.84
75485,637,217,39,-1.39
75517,637,215,39,-12.85
75529,637,141,39,-5.03
75533,637,402,39,5.46
75537,637,503,39,-11.52
75553,402,14,39,10.01
75557,402,631,39,1.17
75565,402,217,39,4.88
75597,402,215,39,-0.82
75609,402,141,39,4.64
75613,402,503,39,4.43
75629,503,141,39,-6.26
75725,118,14,39,0.49
75729,118,631,39,-5.24
75737,118,217,39,3.95
75773,118,141,39,-4.14
75777,118,637,39,-6.12
75781,118,402,39,3.71
89725,402,217,3,0.86
132378,490,565,21,0.32
132404,239,165,37,-7.97
132429,141,509,5,-0.11
132442,628,217,36,-9.69
132476,526,402,21,1.9
132480,239,681,37,-10.7
132481,165,161,19,-1.37
132483,189,503,0,-0.54
132494,188,565,15,0.01
132499,509,218,12,2.02
132500,268,218,0,-2.73
132515,618,579,30,0.77
132531,190,456,25,-0.83
132549,300,161,23,-3.71
132552,161,217,43,0.48
132557,300,578,30,-3.68
132559,281,161,26,-6.18
132562,141,490,8,-0.33
132568,490,579,22,-0.35
132571,239,579,10,-2.29
132575,684,14,34,1.03
132589,488,579,14,-7.96
132594,226,141,33,0.54
132607,456,488,6,-7.41
132614,283,218,22,1.67
132646,165,579,24,-0.96
132662,189,314,32,2.49
132677,489,526,43,-0.12
132690,141,217,6,2.46
132696,488,684,12,-9.52
132703,628,488,15,-3.05
132707,226,333,13,3.97
132716,618,218,24,3.74
132738,268,631,10,-1.99
132745,456,141,35,-4.73
132762,631,488,35,6.42
132787,300,609,10,-0.73
132794,283,209,20,-2.14
132806,401,239,0,2.51
132807,268,609,14,-2.51
132815,226,631,36,-4.24
132816,333,217,23,3.3
132824,583,333,20,1.49
132829,681,637,24,2.69
132839,456,490,34,-1.53
132851,583,565,42,1.75
132852,479,488,8,-1.56
132859,488,509,12,1.05
132867,456,141,0,-2.53
132869,283,509,22,1.43
132884,456,628,5,1.53
132887,456,209,43,-8.16
132903,167,226,28,-6.52
132908,161,217,7,2.78
132909,333,579,22,0.48
132933,681,141,34,-6.01
132937,189,73,23,1.15
132952,681,579,35,-1.07
132961,226,579,35,-3.38
132968,489,456,26,-5.74
132975,602,239,27,-1.7
132976,239,583,11,-5.71
132978,490,14,36,6
132996,283,490,11,2.26
133000,188,631,27,-3.89
133003,190,583,37,2.22
133019,89,631,37,-0.79
133020,490,14,21,-0.65
133021,226,333,16,-4.23
133033,526,14,5,-1.63
133038,218,217,43,-0.82
133054,489,579,12,7.15
133060,488,161,9,-2.38
133061,161,509,7,0.74
133066,189,165,16,10.6
133067,509,217,27,-0.65
133070,165,490,9,1.63
133077,456,488,28,0.26
133078,489,628,36,-1.45
133093,509,217,23,6.01
133094,628,217,8,-2.21
133097,218,333,37,3.27
133103,583,333,12,-2.14
133109,239,684,9,-5.03
133110,402,609,0,1.23
133116,268,165,34,-7.37
133124,189,268,43,1.89
133125,190,165,16,4.69
133128,190,456,35,-2.32
133130,283,583,36,0.09
133149,226,609,6,2.44
133153,165,209,11,2.15
133156,333,579,17,-6.34
133180,73,565,17,-1.9
133184,190,402,0,-0.41
133186,456,631,20,-0.11
133198,226,141,25,0.3
133201,89,631,27,-7.56
133202,509,684,24,2.71
133203,167,226,43,-5.9
133204,141,209,22,0.34
133207,190,268,38,13.32
133215,226,14,13,0
133229,300,333,17,-3.33
133233,456,488,33,-5.63
133255,628,490,34,-4.96
133259,300,456,36,-5.47
133260,268,14,5,-1.71
133277,488,579,38,2.52
133283,637,218,12,-3.29
133295,456,161,34,0.47
133304,456,209,36,-4.25
133321,609,579,43,6.23
133323,631,565,32,-3.97
133324,190,503,7,2.91
133331,681,631,9,-7.86
133336,189,489,14,1.62
133342,401,239,32,1.4
133349,402,631,34,6.02
133359,189,188,5,-2.21
133365,189,73,21,-0.65
133368,526,628,9,2.11
133388,488,509,35,2.39
133391,402,578,13,-2.29
133392,190,631,32,2.03
133397,609,509,19,11.29
133399,489,684,9,4.96
133405,239,165,24,-5.48
133428,509,684,35,0.74
133437,112,631,16,13.67
133448,637,161,9,-4.7
133449,190,490,38,1.25
133467,526,217,43,0.42
133470,526,209,16,-2.7
133494,141,217,21,0.53
133512,401,631,15,-1.47
133519,333,217,10,0.43
133545,401,239,27,-7
133547,490,503,43,-4.02
133555,189,509,27,0.07
133557,583,333,22,1.21
133577,283,509,30,0.6
133581,189,488,15,0.86
133599,239,190,38,2.25
133605,165,161,32,-1.02
133606,456,217,16,-0.81
133612,283,490,20,1.36
133613,509,583,24,8.06
133639,218,583,22,-1.57
133655,141,14,34,4.41
133667,141,509,34,-2.6
133668,190,141,22,0.11
133690,456,488,36,1.72
133693,190,681,20,-4.33
133695,268,609,23,-0.33
133696,609,579,21,-5.95
133700,609,503,29,0.26
133707,167,239,5,-2.66
133713,631,217,8,-0.16
133718,281,631,34,-0.17
133739,165,333,15,0.3
133752,628,239,27,2.37
133753,609,333,34,2.84
133758,283,333,29,-1.64
133761,239,684,25,0.03
133765,479,631,21,-7.11
133799,509,583,7,5.29
133802,489,283,32,-5.02
133810,300,283,8,-0.44
133812,161,579,5,10.52
133816,583,684,13,3.4
133824,681,637,35,-4.03
133826,489,526,20,6.99
133829,565,209,27,-0.91
133833,165,509,17,-6.28
133837,402,333,37,-2.76
133849,526,300,10,0.18
133852,609,239,16,6.09
133855,456,579,43,-4.88
133859,190,218,5,-1.23
133865,141,578,34,3.94
133872,488,217,15,-6.22
133873,190,226,5,-0.69
133877,526,456,10,-0.34
133880,565,503,30,-6.34
133885,314,226,9,-8.58
133886,189,190,9,-1.27
133888,189,358,0,-1.27
133892,631,239,16,-2.69
133895,609,14,10,-0.67
133898,490,509,17,-2.72
133916,456,684,28,1.01
133917,239,684,36,-1.37
133926,89,226,36,2.31
133931,628,161,27,4.95
133933,578,565,12,0.12
133934,583,209,35,-1.6
133945,268,14,34,3.71
133953,526,141,32,0.13
133969,189,631,23,1.5
133974,402,684,30,0.94
133978,268,14,21,0.12
133995,190,141,28,1.65
134013,190,509,32,-0.66
134016,489,161,36,-2.12
134019,488,14,13,0.03
134023,488,578,13,-2.83
134024,489,509,13,-6.8
134027,112,239,16,1.64
134032,489,283,29,-1.69
134044,681,283,28,-4.76
134049,600,226,38,4.22
134050,526,268,34,-4.92
134062,402,509,38,-2.16
134067,268,503,29,1.12
134069,488,684,27,11.71
134072,300,684,14,6.45
134076,509,209,36,-8.24
134086,14,579,37,6.63
134091,165,503,37,-6.98
134099,190,578,21,-0.77
134104,602,631,37,-0.6
134123,189,226,29,9.27
134125,490,14,26,-2.09
134132,190,161,25,1.01
134138,217,14,25,-5.65
134142,618,218,8,1.34
134146,73,239,25,8.86
134153,268,333,26,2.17
134155,489,161,24,-0.28
134158,402,490,36,1.57
134160,503,579,11,-3.22
134166,268,618,43,1.95
134167,600,226,13,13.76
134174,358,565,26,-3.07
134177,503,684,12,-6.56
134197,456,217,42,-2.66
134210,618,161,43,-7.71
134212,300,628,0,2.74
134218,189,161,32,9.79
134219,583,579,17,-5.34
134229,609,333,9,3.11
134235,637,488,43,-1.85
134236,489,609,38,1.2
134249,631,609,15,0.57
134293,628,218,16,-5.21
134305,190,681,10,-4.95
134307,226,488,33,4.67
134309,281,631,14,-12.22
134317,684,14,30,22.12
134326,161,578,22,-0.78
134331,190,218,12,0.02
134354,14,209,35,-0.53
134361,190,165,23,4.96
134378,402,141,15,4.61
134395,510,565,27,1.2
134399,628,333,0,-5.86
134405,165,509,14,5.25
134411,628,631,38,0.01
134417,283,209,42,-1.08
134427,618,628,37,-1.03
134438,456,583,30,-1
134439,218,684,11,5.84
134441,609,684,8,1.54
134448,239,503,34,-6.99
134450,189,333,0,1.69
134469,314,631,26,2.41
134487,268,618,42,20.96
134500,637,218,15,-1.98
134504,314,565,35,-0.79
134507,637,565,42,3.12
134519,239,217,38,0.57
134527,402,631,24,0.04
134530,189,14,0,-0.99
134532,609,217,42,-0.91
134533,189,161,15,1.16
134567,226,628,5,2.76
134581,190,333,27,3.01
134588,300,402,14,5.18
134589,189,609,34,5.37
134598,526,637,43,0.37
134638,618,333,6,5.93
134641,189,401,14,5.4
134651,526,609,22,1.92
134652,161,579,15,-1.64
134657,190,579,35,-0.03
134671,165,579,35,-1.42
134679,189,628,14,-1.28
134683,218,684,0,-1.59
134687,300,628,21,10.93
134689,565,503,33,-12.81
134697,578,579,5,2.04
134702,628,141,34,9.26
134714,190,141,25,-0.95
134716,89,226,7,-0.14
134728,490,609,14,22.28
134732,189,239,16,-2.25
134747,189,479,29,0.21
134750,300,628,28,24.32
134756,631,684,29,0.9
134758,489,14,24,1.39
134759,681,628,30,-1.59
134764,89,226,12,8.63
134767,681,579,29,-2.03
134772,489,488,5,0.62
134778,488,579,0,0.2
134795,402,488,26,-1.19
134800,300,402,20,-0.42
134806,631,684,11,0.65
134810,489,14,8,2.11
134811,456,578,36,2.42
134819,190,609,42,-0.98
134824,681,578,27,0.75
134827,281,226,5,2.64
134830,402,141,12,1.41
134839,300,217,15,0.4
134852,628,565,36,-4.38
134876,583,217,10,-1.81
134878,526,217,30,-1.67
134885,681,631,15,5.15
134887,226,579,15,-5.38
134889,189,509,15,-0.06
134891,456,578,37,-0.96
134920,402,141,11,0.21
134933,618,333,25,0.73
134935,281,631,29,0.33
134936,226,333,26,-1.14
134940,167,239,23,5.88
134943,489,618,26,5.22
134953,226,14,0,0.24
134957,300,631,13,7.81
134965,189,218,43,-0.46
134968,73,239,19,-6.08
134971,489,628,38,2.23
134980,489,579,37,1.51
134986,314,239,34,-4.32
134990,402,509,26,0.3
134994,681,488,14,-7.13
135027,314,226,6,2.81
135028,637,239,11,-1.91
135030,489,190,0,4.12
135032,141,209,5,1.9
135035,402,609,21,-0.13
135040,526,209,15,-2.93
135043,189,226,9,-4.4
135046,631,218,11,-0.45
135053,402,565,22,2.05
135061,314,239,37,-3.75
135068,89,565,20,-2.24
135090,268,218,21,-2.73
135104,167,565,29,-10.5
135110,283,503,11,3.18
135120,165,631,27,-2.34
135133,402,218,42,-3.37
135144,490,578,0,-4.98
135151,489,333,36,-0.8
135184,141,161,6,0.72
135193,283,165,28,-0.28
135194,239,217,20,-8.68
135195,402,684,9,1.55
135199,509,503,6,-8.42
135216,190,165,37,-1.31
135219,456,509,30,-1.8
135226,583,503,33,-4.4
135237,300,209,5,-9.2
135250,456,503,15,-5.7
135251,490,609,13,0.79
135260,681,333,42,-10.89
135269,402,217,21,-2.62
135271,489,239,6,33.77
135272,402,631,9,10.04
135297,681,509,36,-3.68
135308,402,488,33,7.89
135319,165,503,19,-1.86
135322,628,161,15,15.88
135329,489,300,15,-0.25
135344,618,333,11,-2.61
135350,73,631,6,-5.08
135352,300,490,25,4.03
135358,488,14,26,-1.07
135365,283,217,6,0.16
135368,188,239,23,3.1
135399,189,488,5,-3.34
135402,489,402,43,-1.14
135429,631,217,13,-7.44
135434,239,161,43,-1.01
135440,637,490,38,-3.53
135441,628,578,5,0.31
135445,314,226,0,-3.62
135461,489,618,0,-3.79
135475,489,165,5,-2.17
135477,489,283,0,0.08
135491,631,637,23,-0.59
135499,283,161,36,-0.85
135500,239,509,8,-7.44
135505,402,165,15,5.19
135510,488,218,10,-0.32
135516,618,283,22,-2.24
135536,218,565,37,4.62
135539,167,631,6,2.11
135553,188,239,7,-2.2
135562,402,618,9,-3.29
135578,226,488,24,-2
135581,73,239,9,-7.05
135582,637,509,28,0.78
135589,189,490,11,2.48
135597,189,602,33,5.95
135616,189,333,7,3.17
135621,618,283,10,3.67
135624,489,14,23,-1.63
135632,226,684,5,1.12
135641,300,141,8,-1.01
135642,141,161,22,3.46
135643,190,631,11,3.25
135645,189,226,25,-0.6
135652,631,583,13,5.35
135663,281,239,32,-0.17
135672,628,490,23,0.04
135673,239,402,32,-0.72
135678,165,637,23,-9.32
135679,488,217,8,-3.27
135680,609,333,26,1.69
135693,602,226,23,4.68
135717,489,190,11,-4.06
135718,488,490,29,-2.79
135722,489,333,19,-1.58
135729,490,217,21,-1.78
135734,189,479,42,-0.04
135740,333,14,22,-2.13
135752,189,268,23,9.01
135773,681,503,22,-3.67
135776,165,141,5,-6.74
135779,165,509,34,-5.47
135780,283,583,11,5.13
135784,510,631,8,-5.27
135802,141,509,15,-2.17
